city,cost_per_sqft,latitude,longitude,population
Jhunjhunu,571.0,28.1288747,75.3995089,100476.0
Hyderabad,5044.99,17.384934,78.486616,8746490.0
Mancherial,3833.25,18.868797,79.446944,86911.0
Adilabad,872.67,19.676527,78.532194,117167.0
Warangal,2122.72,17.975762,79.601212,811844.0
Suryapet,1943.0,17.143132,79.630418,105531.0
Khammam,3731.5,17.247318,80.151443,184210.0
Karimnagar,5430.33,18.438485,79.128931,261185.0
Nalgonda,1398.82,17.057358,79.268649,135744.0
Nizamabad,2776.0,18.673421,78.092593,311152.0
Lucknow,3079.41,26.8466937,80.946166,2901474.0
Greater Noida,3739.48,28.4743879,77.5039904,107676.0
Noida,6047.39,28.600032,77.351504,259160.0
Gorakhpur,1111.51,26.7605545,83.3731675,692519.0
Varanasi,3943.38,25.3176452,82.9739144,1435113.0
Gonda,1065.67,27.1339913,81.9618968,138929.0
Allahabad,4335.52,25.4358011,81.846311,1216719.0
Barabanki,1565.68,26.9400001,81.19,154692.0
Agra,1845.6,27.1766701,78.0080745,1746467.0
Aligarh,1990.5,27.8973944,78.0880129,909559.0
Kanpur,3413.35,26.447965,80.330572,2920067.0
Mathura,2621.7,27.4924134,77.673673,454937.0
Moradabad,6568.06,28.8386481,78.7733286,889810.0
Faizabad,929.51,26.7732476,82.1441643,642381.0
Muzaffarnagar,2328.0,29.4726817,77.7085091,494792.0
Ghaziabad,4652.68,28.6691565,77.4537578,2358525.0
Basti,597.43,26.8176796,82.7633133,114651.0
Jhansi,1653.83,25.4484257,78.5684594,549391.0
Mirzapur,757.25,25.1336987,82.5644344,245817.0
Bahraich,1199.0,27.5708377,81.5980246,186241.0
Unnao,1199.0,26.5393449,80.4878195,178681.0
Fatehpur,1199.0,27.9950204,74.9617924,92595.0
Fatehpur,1199.0,25.9200736,80.8099941,193801.0
Amroha,1474.5,28.9043537,78.4673426,197135.0
Azamgarh,552.82,26.0737044,83.1859458,116165.0
Meerut,4069.17,28.9844618,77.7064137,1424908.0
Bareilly,4053.45,28.3670355,79.4304381,979933.0
Jaunpur,1681.29,25.7490034,82.6987002,168128.0
Hapur,666.2,28.7305798,77.7758825,262801.0
Saharanpur,2550.8,29.967079,77.5510172,703345.0
Sitapur,1061.67,27.561892,80.688511,188230.0
Hardoi,859.0,27.3986345,80.1316927,197046.0
Haridwar,2851.31,29.9456906,78.1642478,310582.0
Dehradun,4159.43,30.3164945,78.0321918,714223.0
Rishikesh,8957.17,30.0869281,78.2676116,102138.0
Roorkee,4190.22,29.8542626,77.8880002,275502.0
Haldwani,2724.39,29.2182644,79.5129767,252060.0
Rudrapur,2393.83,28.9875082,79.4141214,154485.0
Kolkata,5475.93,22.572646,88.363895,14112536.0
Durgapur,2117.72,23.5204443,87.3119227,581409.0
Bankura,1111.0,23.2324146,87.0786044,138036.0
Bolpur,1245.5,23.6686892,87.6827676,92370.0
Siliguri,3603.42,26.7083818,88.4268741,701489.0
Purulia,137.0,23.3320779,86.365208,126894.0
Darjeeling,7247.0,27.0360066,88.2626751,132016.0
Asansol,2896.21,23.6739452,86.9523954,1243008.0
Bardhaman,3484.5,23.2324214,87.8614793,347016.0
Coimbatore,3436.21,11.0168445,76.9558321,2151466.0
Chennai,5691.6,13.0826802,80.2707184,8696010.0
Madurai,4119.38,9.9252007,78.1197754,1462420.0
Erode,2152.68,11.3410364,77.7171642,521776.0
Thanjavur,1882.24,10.7869994,79.1378274,222943.0
Tirunelveli,2811.51,8.7139126,77.7566523,498984.0
Dindigul,1017.58,10.3673123,77.9802906,207327.0
Ooty,7349.76,11.4064138,76.6932438,88430.0
Cuddalore,599.0,11.744699,79.7680243,173636.0
Salem,3859.54,11.664325,78.1460142,919150.0
Tiruvannamalai,3866.33,12.2252841,79.0746957,145278.0
Hosur,2342.49,12.7409127,77.8252923,116821.0
Vellore,2221.43,12.9165167,79.1324986,481966.0
Tuticorin,4179.9,8.7641661,78.1348361,410760.0
Pudukkottai,500.0,10.379663,78.8208454,143745.0
Nashik,3909.22,19.9974533,73.7898023,1817359.0
Pune,7819.47,18.5204303,73.8567437,3115431.0
Nagpur,3845.79,21.1458004,79.0881546,2405421.0
Mumbai,15900.29,19.0759837,72.8776559,12461724.0
Aurangabad,2718.26,24.7457189,84.3804888,101520.0
Aurangabad,2718.26,19.8761653,75.3433139,1171330.0
Satara,2673.3,17.6804639,74.018261,149335.0
Kolhapur,4636.27,16.7049873,74.2432527,549618.0
Amravati,2600.75,20.9374238,77.7795513,646801.0
Solapur,2244.33,17.6599188,75.9063906,951118.0
Jalgaon,2707.43,21.0076578,75.5626039,460000.0
Ahmednagar,1781.4,19.0952075,74.7495916,350000.0
Dhule,965.23,20.9042201,74.7748979,380000.0
Beed,5312.0,18.9890893,75.7600785,146709.0
Latur,10901.33,18.4087934,76.5603828,410873.0
Bhandara,857.0,21.1750113,79.6558242,91845.0
