Airport Name,Latitude,Longitude
Darbhanga AFS,26.19324303N,85.91752625E
Darman Heliport,20.43335152N,72.84938049E
Darui Helipad,32.56431961N,75.08686066E
Daulat Beg Oldi Advanced Landing Ground,35.3964653N,77.92896271E
Deesa Airport (VADS),24.26836014N,72.20444489E
Dehradun Airport (DED/VIDN),30.18969917N,78.18029785E
Deoghar Airport,24.44682121N,86.70734406E
Dhalbhumgarh AFS,22.5219059N,86.56493378E
Dhana Airport,23.75359917N,78.85579681E
Dhanbad Airport (DBD/VEDB),23.83399963N,86.4253006E
Dhanipur Airstrip (VIAH),27.86085701N,78.14686584E
Dhubulia Airstrip,23.49298477N,88.45401764E
Dhulia Airport,20.92650032N,74.73709869E
Dibrugarh Airport (DIB/VEMN),27.48390007N,95.01689911E
Digri Airstrip,22.78544044N,87.36225128E
Dimapur Airport (DMU/VEMR),25.88389969N,93.77110291E
Dinjan Airfield,27.53801727N,95.26944733E
Dinjan Heliport,27.54464531N,95.23822021E
Diu Airport (DIU),20.71310043N,70.9210968E
Dudhkundi Airfield,22.32459068N,87.10742188E
Duliajan Helipad,27.36618614N,95.32292175E
Dunakonda Airport (VODK),15.82448673N,79.48667145E
Dundigul AFS (VODG),17.62719917N,78.40339661E
Durgapur Airport (RDP/VEDG),23.6213131N,87.2435379E
Durgapur Steel Plant Airfield,23.5833931N,87.33963776E
Faizabad Airport,26.75112915N,82.15436554E
Fazilka Helipad,30.39480972N,74.05426025E
Ferozepur Airfield,30.89666939N,74.58268738E
Ferozepur Helipad,30.90526962N,74.60861969E
Fukche Advanced Landing Ground,32.93740082N,79.21320343E
Fursatganj Airport (VIRB),26.24850082N,81.38050079E
Gaggal Airport (DHM/VIGG),32.1651001N,76.26339722E
Gandhinagar (ISK/VANR),19.96369934N,73.80760193E
Gandhinagar Heliport,23.21794319N,72.65901184E
Gangtok Helipad,27.35569763N,88.61410522E
Gauchar Airfield,30.28482628N,79.16116333E
Gaya Airport (GAY/VEGY),24.74430084N,84.95120239E
Gharab AFS,26.43625641N,73.10282135E
Ghatotand Airstrip,23.78762245N,85.57096863E
Girdharipur Helipad,28.42201042N,79.42256165E
Giridih Airport,24.20190048N,86.28980255E
GITAM University Helipad,17.54872894N,78.16770172E
Go Fly Zone,27.37557411N,75.90277863E
Goa-Dabolim Airport (GOI/VAGO),15.38070965N,73.83204651E
Gondia Airport,21.52619934N,80.29039764E
Gopalpur Helipad,19.25520515N,84.86724091E
Gorakhpur AFS (GOP/VEGK),26.74100304N,83.4493103E
Gulbarga Airport,17.30783653N,76.96131134E
Guna Airport (GUX/VAGN),24.65469933N,77.34729767E
Gunna Ka Pura Airfield,26.65017319N,77.79263306E
Gurugram Airfield,28.4617691N,77.05752563E
Gurugram IIA Helipad,28.38574409N,76.97505951E
Guskhara Airfield,23.47166634N,87.79416656E
Hadapsar Airfield,18.49245453N,73.94149017E
Hakimpet AFS (VOHK),17.55349922N,78.52490234E
HAL Heliport,12.96145821N,77.67774963E
Haldwani AHP,29.24599457N,79.54264832E
Halwara AFS (VIHX),30.74850082N,75.62979889E
Halwara Hospital Helipad,30.75904465N,75.65597534E
Harihar Airport,14.53493404N,75.78761292E
Hashimara AFS,26.69829941N,89.36910248E
Hawai Patti Airport,28.81702423N,78.92835999E
Hindon AFS (VIDX),28.70770073N,77.35890198E
Hirakud Airport (VEHK),21.5802002N,84.00569916E
Hisar Helipad,29.1164608N,75.82022095E
Hissar Airport (HSS/VIHR),29.17939949N,75.75530243E
Holta Helipad,32.1074295N,76.55054474E
Holta Helipad,32.11541748N,76.55958557E
Hosur Airport (HSR/VO95),12.66217899N,77.77033234E
